Temperature (C)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
11.676	1.0000	999.54	0.0010005	0.88355	0.88537	3.1675	75.400	75.531	1453.8	-0.042159	1245.3	0.58224	liquid
11.842	1.0000	999.52	0.0010005	0.89613	0.89796	3.2116	75.391	75.527	1454.4	-0.042135	1239.5	0.58257	liquid
12.009	1.0000	999.50	0.0010005	0.90872	0.91055	3.2558	75.381	75.523	1455.0	-0.042111	1233.7	0.58291	liquid
12.175	1.0000	999.48	0.0010005	0.92131	0.92313	3.2999	75.371	75.518	1455.7	-0.042087	1228.0	0.58325	liquid
12.342	1.0000	999.46	0.0010005	0.93389	0.93572	3.3440	75.362	75.514	1456.3	-0.042063	1222.4	0.58358	liquid
12.509	1.0000	999.44	0.0010006	0.94647	0.94830	3.3881	75.352	75.510	1456.9	-0.042039	1216.8	0.58392	liquid
12.675	1.0000	999.42	0.0010006	0.95906	0.96088	3.4321	75.342	75.506	1457.5	-0.042016	1211.2	0.58425	liquid
12.842	1.0000	999.40	0.0010006	0.97164	0.97347	3.4761	75.333	75.502	1458.2	-0.041992	1205.7	0.58458	liquid
13.009	1.0000	999.38	0.0010006	0.98422	0.98605	3.5201	75.323	75.499	1458.8	-0.041968	1200.2	0.58491	liquid
13.175	1.0000	999.36	0.0010006	0.99680	0.99863	3.5640	75.313	75.495	1459.4	-0.041945	1194.7	0.58524	liquid
13.342	1.0000	999.34	0.0010007	1.0094	1.0112	3.6080	75.303	75.491	1460.0	-0.041921	1189.3	0.58557	liquid
13.509	1.0000	999.31	0.0010007	1.0220	1.0238	3.6519	75.293	75.487	1460.6	-0.041897	1183.9	0.58590	liquid
13.675	1.0000	999.29	0.0010007	1.0345	1.0364	3.6957	75.283	75.484	1461.2	-0.041874	1178.6	0.58623	liquid
13.842	1.0000	999.27	0.0010007	1.0471	1.0490	3.7396	75.273	75.480	1461.8	-0.041851	1173.3	0.58656	liquid
14.009	1.0000	999.25	0.0010008	1.0597	1.0615	3.7834	75.263	75.476	1462.4	-0.041827	1168.1	0.58688	liquid
14.175	1.0000	999.22	0.0010008	1.0723	1.0741	3.8272	75.253	75.473	1463.0	-0.041804	1162.8	0.58721	liquid
14.342	1.0000	999.20	0.0010008	1.0849	1.0867	3.8710	75.243	75.469	1463.6	-0.041781	1157.7	0.58753	liquid
14.509	1.0000	999.18	0.0010008	1.0974	1.0993	3.9147	75.233	75.466	1464.2	-0.041757	1152.5	0.58785	liquid
14.675	1.0000	999.15	0.0010008	1.1100	1.1118	3.9584	75.223	75.463	1464.8	-0.041734	1147.4	0.58818	liquid
14.842	1.0000	999.13	0.0010009	1.1226	1.1244	4.0021	75.213	75.459	1465.4	-0.041711	1142.3	0.58850	liquid
15.009	1.0000	999.10	0.0010009	1.1352	1.1370	4.0457	75.203	75.456	1466.0	-0.041688	1137.3	0.58882	liquid
15.175	1.0000	999.08	0.0010009	1.1477	1.1496	4.0893	75.193	75.453	1466.5	-0.041665	1132.3	0.58914	liquid
15.342	1.0000	999.05	0.0010010	1.1603	1.1621	4.1329	75.182	75.450	1467.1	-0.041642	1127.3	0.58946	liquid
15.508	1.0000	999.02	0.0010010	1.1729	1.1747	4.1765	75.172	75.446	1467.7	-0.041619	1122.4	0.58977	liquid
15.675	1.0000	999.00	0.0010010	1.1855	1.1873	4.2201	75.162	75.443	1468.3	-0.041597	1117.5	0.59009	liquid
15.842	1.0000	998.97	0.0010010	1.1980	1.1999	4.2636	75.151	75.440	1468.8	-0.041574	1112.7	0.59041	liquid
16.008	1.0000	998.94	0.0010011	1.2106	1.2124	4.3071	75.141	75.437	1469.4	-0.041551	1107.8	0.59072	liquid
16.175	1.0000	998.92	0.0010011	1.2232	1.2250	4.3505	75.131	75.434	1470.0	-0.041528	1103.0	0.59103	liquid
16.342	1.0000	998.89	0.0010011	1.2357	1.2376	4.3940	75.120	75.431	1470.5	-0.041506	1098.3	0.59135	liquid
16.508	1.0000	998.86	0.0010011	1.2483	1.2501	4.4374	75.110	75.429	1471.1	-0.041483	1093.6	0.59166	liquid
16.675	1.0000	998.83	0.0010012	1.2609	1.2627	4.4808	75.099	75.426	1471.7	-0.041461	1088.9	0.59197	liquid
16.842	1.0000	998.81	0.0010012	1.2735	1.2753	4.5241	75.089	75.423	1472.2	-0.041438	1084.2	0.59228	liquid
17.008	1.0000	998.78	0.0010012	1.2860	1.2878	4.5674	75.078	75.420	1472.8	-0.041416	1079.6	0.59259	liquid
17.175	1.0000	998.75	0.0010013	1.2986	1.3004	4.6107	75.068	75.417	1473.3	-0.041393	1075.0	0.59290	liquid
17.342	1.0000	998.72	0.0010013	1.3112	1.3130	4.6540	75.057	75.415	1473.9	-0.041371	1070.4	0.59321	liquid
17.508	1.0000	998.69	0.0010013	1.3237	1.3256	4.6973	75.046	75.412	1474.4	-0.041349	1065.9	0.59352	liquid
17.675	1.0000	998.66	0.0010013	1.3363	1.3381	4.7405	75.036	75.409	1475.0	-0.041327	1061.4	0.59382	liquid
17.842	1.0000	998.63	0.0010014	1.3489	1.3507	4.7837	75.025	75.407	1475.5	-0.041305	1056.9	0.59413	liquid
18.008	1.0000	998.60	0.0010014	1.3614	1.3633	4.8269	75.014	75.404	1476.1	-0.041282	1052.5	0.59443	liquid
18.175	1.0000	998.57	0.0010014	1.3740	1.3758	4.8700	75.003	75.402	1476.6	-0.041260	1048.0	0.59474	liquid
18.342	1.0000	998.53	0.0010015	1.3866	1.3884	4.9131	74.993	75.399	1477.1	-0.041238	1043.7	0.59504	liquid
18.508	1.0000	998.50	0.0010015	1.3991	1.4009	4.9562	74.982	75.397	1477.7	-0.041216	1039.3	0.59534	liquid
18.675	1.0000	998.47	0.0010015	1.4117	1.4135	4.9993	74.971	75.395	1478.2	-0.041194	1035.0	0.59564	liquid
18.841	1.0000	998.44	0.0010016	1.4242	1.4261	5.0423	74.960	75.392	1478.7	-0.041172	1030.7	0.59594	liquid
19.008	1.0000	998.41	0.0010016	1.4368	1.4386	5.0854	74.949	75.390	1479.3	-0.041151	1026.4	0.59624	liquid
19.175	1.0000	998.37	0.0010016	1.4494	1.4512	5.1283	74.938	75.388	1479.8	-0.041129	1022.2	0.59654	liquid
19.341	1.0000	998.34	0.0010017	1.4619	1.4638	5.1713	74.927	75.385	1480.3	-0.041107	1018.0	0.59684	liquid
19.508	1.0000	998.31	0.0010017	1.4745	1.4763	5.2143	74.916	75.383	1480.8	-0.041085	1013.8	0.59714	liquid
19.675	1.0000	998.27	0.0010017	1.4871	1.4889	5.2572	74.905	75.381	1481.3	-0.041064	1009.6	0.59744	liquid
19.841	1.0000	998.24	0.0010018	1.4996	1.5015	5.3001	74.894	75.379	1481.9	-0.041042	1005.5	0.59773	liquid
20.008	1.0000	998.21	0.0010018	1.5122	1.5140	5.3429	74.883	75.377	1482.4	-0.041020	1001.4	0.59803	liquid
20.175	1.0000	998.17	0.0010018	1.5247	1.5266	5.3858	74.872	75.375	1482.9	-0.040999	997.33	0.59832	liquid
20.341	1.0000	998.14	0.0010019	1.5373	1.5391	5.4286	74.861	75.373	1483.4	-0.040977	993.28	0.59861	liquid
20.508	1.0000	998.10	0.0010019	1.5499	1.5517	5.4713	74.850	75.371	1483.9	-0.040956	989.26	0.59891	liquid
20.675	1.0000	998.07	0.0010019	1.5624	1.5643	5.5141	74.839	75.369	1484.4	-0.040934	985.26	0.59920	liquid
20.841	1.0000	998.03	0.0010020	1.5750	1.5768	5.5568	74.827	75.367	1484.9	-0.040913	981.29	0.59949	liquid
21.008	1.0000	997.99	0.0010020	1.5876	1.5894	5.5996	74.816	75.365	1485.4	-0.040892	977.35	0.59978	liquid
21.175	1.0000	997.96	0.0010020	1.6001	1.6019	5.6422	74.805	75.363	1485.9	-0.040870	973.43	0.60007	liquid
21.341	1.0000	997.92	0.0010021	1.6127	1.6145	5.6849	74.794	75.361	1486.4	-0.040849	969.54	0.60036	liquid
21.508	1.0000	997.88	0.0010021	1.6252	1.6271	5.7275	74.782	75.359	1486.9	-0.040828	965.67	0.60065	liquid
21.675	1.0000	997.85	0.0010022	1.6378	1.6396	5.7701	74.771	75.357	1487.4	-0.040807	961.83	0.60093	liquid
21.841	1.0000	997.81	0.0010022	1.6503	1.6522	5.8127	74.760	75.356	1487.9	-0.040786	958.01	0.60122	liquid
22.008	1.0000	997.77	0.0010022	1.6629	1.6647	5.8553	74.748	75.354	1488.3	-0.040765	954.22	0.60151	liquid
22.174	1.0000	997.73	0.0010023	1.6755	1.6773	5.8978	74.737	75.352	1488.8	-0.040743	950.45	0.60179	liquid
22.341	1.0000	997.70	0.0010023	1.6880	1.6898	5.9403	74.725	75.351	1489.3	-0.040722	946.70	0.60208	liquid
22.508	1.0000	997.66	0.0010023	1.7006	1.7024	5.9828	74.714	75.349	1489.8	-0.040701	942.98	0.60236	liquid
22.674	1.0000	997.62	0.0010024	1.7131	1.7150	6.0253	74.702	75.347	1490.3	-0.040681	939.28	0.60264	liquid
22.841	1.0000	997.58	0.0010024	1.7257	1.7275	6.0677	74.691	75.346	1490.7	-0.040660	935.61	0.60293	liquid
23.008	1.0000	997.54	0.0010025	1.7382	1.7401	6.1101	74.679	75.344	1491.2	-0.040639	931.96	0.60321	liquid
23.174	1.0000	997.50	0.0010025	1.7508	1.7526	6.1525	74.668	75.343	1491.7	-0.040618	928.33	0.60349	liquid
23.341	1.0000	997.46	0.0010025	1.7634	1.7652	6.1948	74.656	75.341	1492.2	-0.040597	924.72	0.60377	liquid
23.508	1.0000	997.42	0.0010026	1.7759	1.7777	6.2372	74.645	75.340	1492.6	-0.040576	921.14	0.60405	liquid
23.674	1.0000	997.38	0.0010026	1.7885	1.7903	6.2795	74.633	75.338	1493.1	-0.040556	917.58	0.60433	liquid
23.841	1.0000	997.34	0.0010027	1.8010	1.8029	6.3218	74.621	75.337	1493.5	-0.040535	914.04	0.60460	liquid
24.008	1.0000	997.30	0.0010027	1.8136	1.8154	6.3640	74.610	75.335	1494.0	-0.040514	910.52	0.60488	liquid
24.174	1.0000	997.26	0.0010028	1.8261	1.8280	6.4063	74.598	75.334	1494.5	-0.040494	907.03	0.60516	liquid
24.341	1.0000	997.21	0.0010028	1.8387	1.8405	6.4485	74.586	75.333	1494.9	-0.040473	903.55	0.60543	liquid
24.508	1.0000	997.17	0.0010028	1.8512	1.8531	6.4907	74.574	75.331	1495.4	-0.040453	900.10	0.60571	liquid
24.674	1.0000	997.13	0.0010029	1.8638	1.8656	6.5328	74.562	75.330	1495.8	-0.040432	896.67	0.60598	liquid
24.841	1.0000	997.09	0.0010029	1.8763	1.8782	6.5750	74.551	75.329	1496.3	-0.040412	893.26	0.60626	liquid
25.008	1.0000	997.05	0.0010030	1.8889	1.8907	6.6171	74.539	75.327	1496.7	-0.040391	889.87	0.60653	liquid
25.174	1.0000	997.00	0.0010030	1.9015	1.9033	6.6592	74.527	75.326	1497.2	-0.040371	886.50	0.60680	liquid
25.341	1.0000	996.96	0.0010030	1.9140	1.9158	6.7013	74.515	75.325	1497.6	-0.040351	883.15	0.60707	liquid
25.507	1.0000	996.92	0.0010031	1.9266	1.9284	6.7433	74.503	75.324	1498.0	-0.040330	879.83	0.60734	liquid
25.674	1.0000	996.87	0.0010031	1.9391	1.9409	6.7853	74.491	75.323	1498.5	-0.040310	876.52	0.60761	liquid
25.841	1.0000	996.83	0.0010032	1.9517	1.9535	6.8273	74.479	75.322	1498.9	-0.040290	873.23	0.60788	liquid
26.007	1.0000	996.78	0.0010032	1.9642	1.9660	6.8693	74.467	75.320	1499.4	-0.040270	869.96	0.60815	liquid
26.174	1.0000	996.74	0.0010033	1.9768	1.9786	6.9112	74.455	75.319	1499.8	-0.040249	866.72	0.60842	liquid
26.341	1.0000	996.70	0.0010033	1.9893	1.9911	6.9531	74.443	75.318	1500.2	-0.040229	863.49	0.60869	liquid
26.507	1.0000	996.65	0.0010034	2.0019	2.0037	6.9950	74.431	75.317	1500.6	-0.040209	860.28	0.60895	liquid
26.674	1.0000	996.60	0.0010034	2.0144	2.0163	7.0369	74.419	75.316	1501.1	-0.040189	857.09	0.60922	liquid
26.841	1.0000	996.56	0.0010035	2.0270	2.0288	7.0788	74.407	75.315	1501.5	-0.040169	853.92	0.60948	liquid
27.007	1.0000	996.51	0.0010035	2.0395	2.0414	7.1206	74.395	75.314	1501.9	-0.040149	850.77	0.60975	liquid
27.174	1.0000	996.47	0.0010035	2.0521	2.0539	7.1624	74.383	75.313	1502.3	-0.040129	847.64	0.61001	liquid
27.341	1.0000	996.42	0.0010036	2.0646	2.0665	7.2042	74.370	75.312	1502.8	-0.040109	844.52	0.61028	liquid
27.507	1.0000	996.37	0.0010036	2.0772	2.0790	7.2459	74.358	75.312	1503.2	-0.040089	841.43	0.61054	liquid
27.674	1.0000	996.33	0.0010037	2.0897	2.0916	7.2877	74.346	75.311	1503.6	-0.040069	838.35	0.61080	liquid
27.841	1.0000	996.28	0.0010037	2.1023	2.1041	7.3294	74.334	75.310	1504.0	-0.040049	835.29	0.61106	liquid
28.007	1.0000	996.23	0.0010038	2.1148	2.1167	7.3711	74.321	75.309	1504.4	-0.040030	832.25	0.61132	liquid
28.174	1.0000	996.19	0.0010038	2.1274	2.1292	7.4127	74.309	75.308	1504.8	-0.040010	829.22	0.61158	liquid
28.341	1.0000	996.14	0.0010039	2.1399	2.1418	7.4544	74.297	75.307	1505.2	-0.039990	826.22	0.61184	liquid
28.507	1.0000	996.09	0.0010039	2.1525	2.1543	7.4960	74.284	75.307	1505.6	-0.039970	823.23	0.61210	liquid
28.674	1.0000	996.04	0.0010040	2.1650	2.1669	7.5376	74.272	75.306	1506.0	-0.039951	820.26	0.61236	liquid
28.840	1.0000	995.99	0.0010040	2.1776	2.1794	7.5791	74.260	75.305	1506.4	-0.039931	817.30	0.61262	liquid
29.007	1.0000	995.95	0.0010041	2.1901	2.1920	7.6207	74.247	75.304	1506.8	-0.039911	814.37	0.61288	liquid
29.174	1.0000	995.90	0.0010041	2.2027	2.2045	7.6622	74.235	75.304	1507.2	-0.039892	811.45	0.61313	liquid
29.340	1.0000	995.85	0.0010042	2.2152	2.2171	7.7037	74.222	75.303	1507.6	-0.039872	808.55	0.61339	liquid
29.507	1.0000	995.80	0.0010042	2.2278	2.2296	7.7452	74.210	75.302	1508.0	-0.039852	805.66	0.61364	liquid
29.674	1.0000	995.75	0.0010043	2.2403	2.2422	7.7866	74.197	75.302	1508.4	-0.039833	802.79	0.61390	liquid
29.840	1.0000	995.70	0.0010043	2.2529	2.2547	7.8281	74.185	75.301	1508.8	-0.039813	799.94	0.61415	liquid
30.007	1.0000	995.65	0.0010044	2.2654	2.2673	7.8695	74.172	75.301	1509.2	-0.039794	797.10	0.61440	liquid
30.174	1.0000	995.60	0.0010044	2.2780	2.2798	7.9108	74.160	75.300	1509.6	-0.039775	794.28	0.61466	liquid
30.340	1.0000	995.55	0.0010045	2.2905	2.2924	7.9522	74.147	75.299	1509.9	-0.039755	791.48	0.61491	liquid
30.507	1.0000	995.50	0.0010045	2.3031	2.3049	7.9935	74.135	75.299	1510.3	-0.039736	788.69	0.61516	liquid
30.674	1.0000	995.44	0.0010046	2.3156	2.3174	8.0349	74.122	75.298	1510.7	-0.039716	785.92	0.61541	liquid
30.840	1.0000	995.39	0.0010046	2.3282	2.3300	8.0761	74.109	75.298	1511.1	-0.039697	783.16	0.61566	liquid
31.007	1.0000	995.34	0.0010047	2.3407	2.3425	8.1174	74.097	75.297	1511.4	-0.039678	780.42	0.61591	liquid
31.174	1.0000	995.29	0.0010047	2.3533	2.3551	8.1587	74.084	75.297	1511.8	-0.039658	777.70	0.61616	liquid
31.340	1.0000	995.24	0.0010048	2.3658	2.3676	8.1999	74.071	75.296	1512.2	-0.039639	774.99	0.61640	liquid
31.507	1.0000	995.18	0.0010048	2.3784	2.3802	8.2411	74.059	75.296	1512.6	-0.039620	772.29	0.61665	liquid
31.674	1.0000	995.13	0.0010049	2.3909	2.3927	8.2823	74.046	75.296	1512.9	-0.039601	769.61	0.61690	liquid
31.840	1.0000	995.08	0.0010049	2.4035	2.4053	8.3234	74.033	75.295	1513.3	-0.039582	766.95	0.61715	liquid
32.007	1.0000	995.03	0.0010050	2.4160	2.4178	8.3645	74.020	75.295	1513.6	-0.039562	764.30	0.61739	liquid
32.173	1.0000	994.97	0.0010051	2.4285	2.4304	8.4056	74.007	75.294	1514.0	-0.039543	761.66	0.61764	liquid
32.340	1.0000	994.92	0.0010051	2.4411	2.4429	8.4467	73.995	75.294	1514.4	-0.039524	759.04	0.61788	liquid
32.507	1.0000	994.87	0.0010052	2.4536	2.4555	8.4878	73.982	75.294	1514.7	-0.039505	756.44	0.61812	liquid
32.673	1.0000	994.81	0.0010052	2.4662	2.4680	8.5288	73.969	75.293	1515.1	-0.039486	753.85	0.61837	liquid
32.840	1.0000	994.76	0.0010053	2.4787	2.4806	8.5699	73.956	75.293	1515.4	-0.039467	751.27	0.61861	liquid
33.007	1.0000	994.70	0.0010053	2.4913	2.4931	8.6108	73.943	75.293	1515.8	-0.039448	748.71	0.61885	liquid
33.173	1.0000	994.65	0.0010054	2.5038	2.5057	8.6518	73.930	75.292	1516.1	-0.039429	746.16	0.61909	liquid
33.340	1.0000	994.59	0.0010054	2.5164	2.5182	8.6928	73.917	75.292	1516.5	-0.039410	743.63	0.61933	liquid
