Temperature (C)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
68.836	1.0000	978.43	0.0010221	5.1910	5.1929	16.950	70.820	75.473	1554.5	-0.035714	410.07	0.65882	liquid
69.003	1.0000	978.33	0.0010221	5.2036	5.2054	16.987	70.805	75.475	1554.6	-0.035697	409.13	0.65895	liquid
69.170	1.0000	978.24	0.0010222	5.2161	5.2180	17.023	70.789	75.476	1554.6	-0.035680	408.19	0.65909	liquid
69.336	1.0000	978.14	0.0010223	5.2287	5.2306	17.060	70.774	75.478	1554.6	-0.035664	407.25	0.65923	liquid
69.503	1.0000	978.05	0.0010224	5.2413	5.2432	17.097	70.758	75.480	1554.7	-0.035647	406.31	0.65936	liquid
69.670	1.0000	977.95	0.0010225	5.2539	5.2557	17.134	70.743	75.482	1554.7	-0.035630	405.38	0.65949	liquid
69.836	1.0000	977.86	0.0010226	5.2665	5.2683	17.170	70.727	75.483	1554.7	-0.035614	404.46	0.65963	liquid
70.003	1.0000	977.76	0.0010227	5.2790	5.2809	17.207	70.711	75.485	1554.7	-0.035597	403.53	0.65976	liquid
70.170	1.0000	977.67	0.0010228	5.2916	5.2935	17.244	70.696	75.487	1554.8	-0.035580	402.61	0.65989	liquid
70.336	1.0000	977.57	0.0010229	5.3042	5.3061	17.280	70.680	75.489	1554.8	-0.035563	401.69	0.66003	liquid
70.503	1.0000	977.48	0.0010230	5.3168	5.3186	17.317	70.665	75.491	1554.8	-0.035547	400.78	0.66016	liquid
70.670	1.0000	977.38	0.0010231	5.3294	5.3312	17.353	70.649	75.492	1554.8	-0.035530	399.87	0.66029	liquid
70.836	1.0000	977.29	0.0010232	5.3419	5.3438	17.390	70.633	75.494	1554.9	-0.035513	398.97	0.66042	liquid
71.003	1.0000	977.19	0.0010233	5.3545	5.3564	17.427	70.618	75.496	1554.9	-0.035497	398.06	0.66055	liquid
71.170	1.0000	977.09	0.0010234	5.3671	5.3690	17.463	70.602	75.498	1554.9	-0.035480	397.17	0.66068	liquid
71.336	1.0000	977.00	0.0010235	5.3797	5.3816	17.500	70.587	75.500	1554.9	-0.035463	396.27	0.66081	liquid
71.503	1.0000	976.90	0.0010236	5.3923	5.3941	17.536	70.571	75.501	1554.9	-0.035447	395.38	0.66094	liquid
71.670	1.0000	976.80	0.0010237	5.4048	5.4067	17.573	70.555	75.503	1555.0	-0.035430	394.49	0.66107	liquid
71.836	1.0000	976.71	0.0010238	5.4174	5.4193	17.609	70.540	75.505	1555.0	-0.035413	393.60	0.66120	liquid
72.003	1.0000	976.61	0.0010239	5.4300	5.4319	17.646	70.524	75.507	1555.0	-0.035397	392.72	0.66133	liquid
72.169	1.0000	976.51	0.0010241	5.4426	5.4445	17.682	70.508	75.509	1555.0	-0.035380	391.84	0.66145	liquid
72.336	1.0000	976.42	0.0010242	5.4552	5.4571	17.718	70.493	75.511	1555.0	-0.035363	390.97	0.66158	liquid
72.503	1.0000	976.32	0.0010243	5.4678	5.4696	17.755	70.477	75.513	1555.0	-0.035346	390.10	0.66171	liquid
72.669	1.0000	976.22	0.0010244	5.4804	5.4822	17.791	70.461	75.514	1555.0	-0.035330	389.23	0.66184	liquid
72.836	1.0000	976.12	0.0010245	5.4929	5.4948	17.828	70.446	75.516	1555.1	-0.035313	388.36	0.66196	liquid
73.003	1.0000	976.03	0.0010246	5.5055	5.5074	17.864	70.430	75.518	1555.1	-0.035296	387.50	0.66209	liquid
73.169	1.0000	975.93	0.0010247	5.5181	5.5200	17.900	70.414	75.520	1555.1	-0.035280	386.64	0.66221	liquid
73.336	1.0000	975.83	0.0010248	5.5307	5.5326	17.937	70.399	75.522	1555.1	-0.035263	385.78	0.66234	liquid
73.503	1.0000	975.73	0.0010249	5.5433	5.5451	17.973	70.383	75.524	1555.1	-0.035246	384.93	0.66246	liquid
73.669	1.0000	975.63	0.0010250	5.5559	5.5577	18.009	70.367	75.526	1555.1	-0.035229	384.08	0.66259	liquid
73.836	1.0000	975.53	0.0010251	5.5684	5.5703	18.046	70.352	75.528	1555.1	-0.035213	383.24	0.66271	liquid
74.003	1.0000	975.44	0.0010252	5.5810	5.5829	18.082	70.336	75.530	1555.1	-0.035196	382.39	0.66283	liquid
74.169	1.0000	975.34	0.0010253	5.5936	5.5955	18.118	70.320	75.532	1555.1	-0.035179	381.55	0.66296	liquid
74.336	1.0000	975.24	0.0010254	5.6062	5.6081	18.154	70.305	75.534	1555.1	-0.035163	380.72	0.66308	liquid
74.503	1.0000	975.14	0.0010255	5.6188	5.6207	18.191	70.289	75.536	1555.1	-0.035146	379.88	0.66320	liquid
74.669	1.0000	975.04	0.0010256	5.6314	5.6333	18.227	70.273	75.538	1555.1	-0.035129	379.05	0.66332	liquid
74.836	1.0000	974.94	0.0010257	5.6440	5.6458	18.263	70.258	75.540	1555.1	-0.035112	378.23	0.66344	liquid
75.003	1.0000	974.84	0.0010258	5.6566	5.6584	18.299	70.242	75.542	1555.1	-0.035096	377.40	0.66356	liquid
75.169	1.0000	974.74	0.0010259	5.6692	5.6710	18.335	70.226	75.544	1555.1	-0.035079	376.58	0.66368	liquid
75.336	1.0000	974.64	0.0010260	5.6817	5.6836	18.371	70.211	75.546	1555.1	-0.035062	375.76	0.66380	liquid
75.502	1.0000	974.54	0.0010261	5.6943	5.6962	18.408	70.195	75.548	1555.0	-0.035045	374.95	0.66392	liquid
75.669	1.0000	974.44	0.0010262	5.7069	5.7088	18.444	70.179	75.550	1555.0	-0.035028	374.14	0.66404	liquid
75.836	1.0000	974.34	0.0010263	5.7195	5.7214	18.480	70.163	75.552	1555.0	-0.035012	373.33	0.66416	liquid
76.002	1.0000	974.24	0.0010264	5.7321	5.7340	18.516	70.148	75.554	1555.0	-0.034995	372.52	0.66428	liquid
76.169	1.0000	974.14	0.0010265	5.7447	5.7466	18.552	70.132	75.556	1555.0	-0.034978	371.72	0.66440	liquid
76.336	1.0000	974.04	0.0010267	5.7573	5.7592	18.588	70.116	75.558	1555.0	-0.034961	370.92	0.66451	liquid
76.502	1.0000	973.94	0.0010268	5.7699	5.7717	18.624	70.101	75.560	1555.0	-0.034945	370.12	0.66463	liquid
76.669	1.0000	973.84	0.0010269	5.7825	5.7843	18.660	70.085	75.562	1555.0	-0.034928	369.33	0.66475	liquid
76.836	1.0000	973.74	0.0010270	5.7951	5.7969	18.696	70.069	75.564	1554.9	-0.034911	368.54	0.66486	liquid
77.002	1.0000	973.64	0.0010271	5.8077	5.8095	18.732	70.053	75.566	1554.9	-0.034894	367.75	0.66498	liquid
77.169	1.0000	973.53	0.0010272	5.8202	5.8221	18.768	70.038	75.568	1554.9	-0.034877	366.96	0.66510	liquid
77.336	1.0000	973.43	0.0010273	5.8328	5.8347	18.804	70.022	75.571	1554.9	-0.034861	366.18	0.66521	liquid
77.502	1.0000	973.33	0.0010274	5.8454	5.8473	18.840	70.006	75.573	1554.9	-0.034844	365.40	0.66532	liquid
77.669	1.0000	973.23	0.0010275	5.8580	5.8599	18.876	69.991	75.575	1554.8	-0.034827	364.63	0.66544	liquid
77.836	1.0000	973.13	0.0010276	5.8706	5.8725	18.911	69.975	75.577	1554.8	-0.034810	363.85	0.66555	liquid
78.002	1.0000	973.03	0.0010277	5.8832	5.8851	18.947	69.959	75.579	1554.8	-0.034793	363.08	0.66567	liquid
78.169	1.0000	972.92	0.0010278	5.8958	5.8977	18.983	69.943	75.581	1554.8	-0.034776	362.31	0.66578	liquid
78.336	1.0000	972.82	0.0010279	5.9084	5.9103	19.019	69.928	75.583	1554.7	-0.034760	361.55	0.66589	liquid
78.502	1.0000	972.72	0.0010280	5.9210	5.9229	19.055	69.912	75.586	1554.7	-0.034743	360.78	0.66600	liquid
78.669	1.0000	972.62	0.0010282	5.9336	5.9355	19.091	69.896	75.588	1554.7	-0.034726	360.02	0.66612	liquid
78.835	1.0000	972.51	0.0010283	5.9462	5.9481	19.126	69.880	75.590	1554.7	-0.034709	359.27	0.66623	liquid
79.002	1.0000	972.41	0.0010284	5.9588	5.9607	19.162	69.865	75.592	1554.6	-0.034692	358.51	0.66634	liquid
79.169	1.0000	972.31	0.0010285	5.9714	5.9733	19.198	69.849	75.594	1554.6	-0.034675	357.76	0.66645	liquid
79.335	1.0000	972.20	0.0010286	5.9840	5.9859	19.234	69.833	75.597	1554.6	-0.034658	357.01	0.66656	liquid
79.502	1.0000	972.10	0.0010287	5.9966	5.9985	19.270	69.817	75.599	1554.5	-0.034642	356.26	0.66667	liquid
79.669	1.0000	972.00	0.0010288	6.0092	6.0111	19.305	69.802	75.601	1554.5	-0.034625	355.52	0.66678	liquid
79.835	1.0000	971.89	0.0010289	6.0218	6.0237	19.341	69.786	75.603	1554.5	-0.034608	354.78	0.66689	liquid
80.002	1.0000	971.79	0.0010290	6.0344	6.0363	19.377	69.770	75.606	1554.4	-0.034591	354.04	0.66700	liquid
80.169	1.0000	971.69	0.0010291	6.0470	6.0489	19.412	69.754	75.608	1554.4	-0.034574	353.31	0.66710	liquid
80.335	1.0000	971.58	0.0010293	6.0596	6.0615	19.448	69.739	75.610	1554.4	-0.034557	352.57	0.66721	liquid
80.502	1.0000	971.48	0.0010294	6.0722	6.0741	19.484	69.723	75.612	1554.3	-0.034540	351.84	0.66732	liquid
80.669	1.0000	971.37	0.0010295	6.0848	6.0867	19.519	69.707	75.615	1554.3	-0.034523	351.11	0.66743	liquid
80.835	1.0000	971.27	0.0010296	6.0974	6.0993	19.555	69.691	75.617	1554.2	-0.034506	350.39	0.66753	liquid
81.002	1.0000	971.16	0.0010297	6.1100	6.1119	19.590	69.676	75.619	1554.2	-0.034489	349.67	0.66764	liquid
81.169	1.0000	971.06	0.0010298	6.1226	6.1245	19.626	69.660	75.622	1554.1	-0.034472	348.95	0.66774	liquid
81.335	1.0000	970.95	0.0010299	6.1352	6.1371	19.662	69.644	75.624	1554.1	-0.034456	348.23	0.66785	liquid
81.502	1.0000	970.85	0.0010300	6.1478	6.1497	19.697	69.628	75.626	1554.1	-0.034439	347.51	0.66795	liquid
81.669	1.0000	970.74	0.0010301	6.1604	6.1623	19.733	69.612	75.629	1554.0	-0.034422	346.80	0.66806	liquid
81.835	1.0000	970.64	0.0010303	6.1730	6.1749	19.768	69.597	75.631	1554.0	-0.034405	346.09	0.66816	liquid
82.002	1.0000	970.53	0.0010304	6.1856	6.1875	19.804	69.581	75.633	1553.9	-0.034388	345.39	0.66827	liquid
82.168	1.0000	970.43	0.0010305	6.1982	6.2001	19.839	69.565	75.636	1553.9	-0.034371	344.68	0.66837	liquid
82.335	1.0000	970.32	0.0010306	6.2108	6.2127	19.875	69.549	75.638	1553.8	-0.034354	343.98	0.66847	liquid
82.502	1.0000	970.22	0.0010307	6.2234	6.2253	19.910	69.534	75.641	1553.8	-0.034337	343.28	0.66858	liquid
82.668	1.0000	970.11	0.0010308	6.2360	6.2379	19.945	69.518	75.643	1553.7	-0.034320	342.58	0.66868	liquid
82.835	1.0000	970.00	0.0010309	6.2486	6.2505	19.981	69.502	75.645	1553.7	-0.034303	341.89	0.66878	liquid
83.002	1.0000	969.90	0.0010310	6.2612	6.2631	20.016	69.486	75.648	1553.6	-0.034286	341.19	0.66888	liquid
83.168	1.0000	969.79	0.0010312	6.2738	6.2757	20.052	69.471	75.650	1553.5	-0.034269	340.50	0.66898	liquid
83.335	1.0000	969.68	0.0010313	6.2865	6.2883	20.087	69.455	75.653	1553.5	-0.034252	339.82	0.66908	liquid
83.502	1.0000	969.58	0.0010314	6.2991	6.3009	20.122	69.439	75.655	1553.4	-0.034235	339.13	0.66918	liquid
83.668	1.0000	969.47	0.0010315	6.3117	6.3135	20.158	69.423	75.658	1553.4	-0.034218	338.45	0.66928	liquid
83.835	1.0000	969.36	0.0010316	6.3243	6.3262	20.193	69.408	75.660	1553.3	-0.034201	337.77	0.66938	liquid
84.002	1.0000	969.26	0.0010317	6.3369	6.3388	20.228	69.392	75.663	1553.3	-0.034183	337.09	0.66948	liquid
84.168	1.0000	969.15	0.0010318	6.3495	6.3514	20.264	69.376	75.665	1553.2	-0.034166	336.41	0.66958	liquid
84.335	1.0000	969.04	0.0010319	6.3621	6.3640	20.299	69.360	75.667	1553.1	-0.034149	335.74	0.66968	liquid
84.502	1.0000	968.93	0.0010321	6.3747	6.3766	20.334	69.344	75.670	1553.1	-0.034132	335.07	0.66978	liquid
84.668	1.0000	968.83	0.0010322	6.3873	6.3892	20.369	69.329	75.672	1553.0	-0.034115	334.40	0.66987	liquid
84.835	1.0000	968.72	0.0010323	6.3999	6.4018	20.405	69.313	75.675	1552.9	-0.034098	333.73	0.66997	liquid
85.002	1.0000	968.61	0.0010324	6.4125	6.4144	20.440	69.297	75.678	1552.9	-0.034081	333.07	0.67007	liquid
85.168	1.0000	968.50	0.0010325	6.4252	6.4270	20.475	69.281	75.680	1552.8	-0.034064	332.41	0.67016	liquid
85.335	1.0000	968.39	0.0010326	6.4378	6.4397	20.510	69.266	75.683	1552.7	-0.034047	331.75	0.67026	liquid
85.501	1.0000	968.29	0.0010328	6.4504	6.4523	20.546	69.250	75.685	1552.7	-0.034030	331.09	0.67036	liquid
85.668	1.0000	968.18	0.0010329	6.4630	6.4649	20.581	69.234	75.688	1552.6	-0.034012	330.44	0.67045	liquid
85.835	1.0000	968.07	0.0010330	6.4756	6.4775	20.616	69.218	75.690	1552.5	-0.033995	329.78	0.67055	liquid
86.001	1.0000	967.96	0.0010331	6.4882	6.4901	20.651	69.203	75.693	1552.5	-0.033978	329.13	0.67064	liquid
86.168	1.0000	967.85	0.0010332	6.5008	6.5027	20.686	69.187	75.696	1552.4	-0.033961	328.48	0.67073	liquid
86.335	1.0000	967.74	0.0010333	6.5134	6.5153	20.721	69.171	75.698	1552.3	-0.033944	327.84	0.67083	liquid
86.501	1.0000	967.63	0.0010334	6.5261	6.5280	20.756	69.155	75.701	1552.2	-0.033927	327.20	0.67092	liquid
86.668	1.0000	967.52	0.0010336	6.5387	6.5406	20.791	69.140	75.703	1552.2	-0.033909	326.55	0.67101	liquid
86.835	1.0000	967.41	0.0010337	6.5513	6.5532	20.826	69.124	75.706	1552.1	-0.033892	325.91	0.67111	liquid
87.001	1.0000	967.30	0.0010338	6.5639	6.5658	20.861	69.108	75.709	1552.0	-0.033875	325.28	0.67120	liquid
87.168	1.0000	967.19	0.0010339	6.5765	6.5784	20.896	69.092	75.711	1551.9	-0.033858	324.64	0.67129	liquid
87.335	1.0000	967.08	0.0010340	6.5891	6.5910	20.931	69.076	75.714	1551.8	-0.033841	324.01	0.67138	liquid
87.501	1.0000	966.97	0.0010342	6.6018	6.6037	20.966	69.061	75.717	1551.8	-0.033823	323.38	0.67147	liquid
87.668	1.0000	966.86	0.0010343	6.6144	6.6163	21.001	69.045	75.719	1551.7	-0.033806	322.75	0.67156	liquid
87.835	1.0000	966.75	0.0010344	6.6270	6.6289	21.036	69.029	75.722	1551.6	-0.033789	322.12	0.67165	liquid
88.001	1.0000	966.64	0.0010345	6.6396	6.6415	21.071	69.013	75.725	1551.5	-0.033772	321.50	0.67174	liquid
88.168	1.0000	966.53	0.0010346	6.6522	6.6541	21.106	68.998	75.727	1551.4	-0.033754	320.88	0.67183	liquid
88.335	1.0000	966.42	0.0010347	6.6649	6.6667	21.141	68.982	75.730	1551.4	-0.033737	320.26	0.67192	liquid
88.501	1.0000	966.31	0.0010349	6.6775	6.6794	21.176	68.966	75.733	1551.3	-0.033720	319.64	0.67201	liquid
88.668	1.0000	966.20	0.0010350	6.6901	6.6920	21.211	68.950	75.736	1551.2	-0.033702	319.02	0.67210	liquid
88.834	1.0000	966.09	0.0010351	6.7027	6.7046	21.246	68.935	75.738	1551.1	-0.033685	318.41	0.67219	liquid
89.001	1.0000	965.98	0.0010352	6.7153	6.7172	21.281	68.919	75.741	1551.0	-0.033668	317.80	0.67227	liquid
89.168	1.0000	965.87	0.0010353	6.7280	6.7299	21.316	68.903	75.744	1550.9	-0.033650	317.19	0.67236	liquid
89.334	1.0000	965.76	0.0010355	6.7406	6.7425	21.350	68.887	75.747	1550.8	-0.033633	316.58	0.67245	liquid
89.501	1.0000	965.64	0.0010356	6.7532	6.7551	21.385	68.872	75.749	1550.7	-0.033616	315.98	0.67253	liquid
89.668	1.0000	965.53	0.0010357	6.7658	6.7677	21.420	68.856	75.752	1550.6	-0.033598	315.37	0.67262	liquid
89.834	1.0000	965.42	0.0010358	6.7785	6.7804	21.455	68.840	75.755	1550.5	-0.033581	314.77	0.67270	liquid
90.001	1.0000	965.31	0.0010359	6.7911	6.7930	21.490	68.824	75.758	1550.5	-0.033564	314.17	0.67279	liquid
90.168	1.0000	965.20	0.0010361	6.8037	6.8056	21.524	68.809	75.761	1550.4	-0.033546	313.57	0.67287	liquid
90.334	1.0000	965.08	0.0010362	6.8163	6.8182	21.559	68.793	75.764	1550.3	-0.033529	312.98	0.67296	liquid
90.501	1.0000	964.97	0.0010363	6.8290	6.8309	21.594	68.777	75.766	1550.2	-0.033511	312.39	0.67304	liquid
90.668	1.0000	964.86	0.0010364	6.8416	6.8435	21.629	68.762	75.769	1550.1	-0.033494	311.79	0.67313	liquid
90.834	1.0000	964.75	0.0010365	6.8542	6.8561	21.663	68.746	75.772	1550.0	-0.033477	311.20	0.67321	liquid
91.001	1.0000	964.63	0.0010367	6.8668	6.8687	21.698	68.730	75.775	1549.9	-0.033459	310.62	0.67329	liquid
91.168	1.0000	964.52	0.0010368	6.8795	6.8814	21.733	68.714	75.778	1549.8	-0.033442	310.03	0.67337	liquid
91.334	1.0000	964.41	0.0010369	6.8921	6.8940	21.767	68.699	75.781	1549.7	-0.033424	309.45	0.67346	liquid
91.501	1.0000	964.29	0.0010370	6.9047	6.9066	21.802	68.683	75.784	1549.6	-0.033407	308.87	0.67354	liquid
91.668	1.0000	964.18	0.0010371	6.9174	6.9192	21.837	68.667	75.787	1549.5	-0.033389	308.29	0.67362	liquid
91.834	1.0000	964.07	0.0010373	6.9300	6.9319	21.871	68.651	75.790	1549.4	-0.033372	307.71	0.67370	liquid
92.001	1.0000	963.95	0.0010374	6.9426	6.9445	21.906	68.636	75.793	1549.2	-0.033354	307.13	0.67378	liquid
92.167	1.0000	963.84	0.0010375	6.9552	6.9571	21.940	68.620	75.796	1549.1	-0.033337	306.56	0.67386	liquid
92.334	1.0000	963.73	0.0010376	6.9679	6.9698	21.975	68.604	75.798	1549.0	-0.033319	305.99	0.67394	liquid
92.501	1.0000	963.61	0.0010378	6.9805	6.9824	22.009	68.589	75.801	1548.9	-0.033302	305.42	0.67402	liquid
92.667	1.0000	963.50	0.0010379	6.9931	6.9950	22.044	68.573	75.804	1548.8	-0.033284	304.85	0.67410	liquid
92.834	1.0000	963.38	0.0010380	7.0058	7.0077	22.078	68.557	75.807	1548.7	-0.033267	304.28	0.67418	liquid
93.001	1.0000	963.27	0.0010381	7.0184	7.0203	22.113	68.542	75.810	1548.6	-0.033249	303.72	0.67426	liquid
93.167	1.0000	963.16	0.0010383	7.0310	7.0329	22.147	68.526	75.813	1548.5	-0.033231	303.15	0.67433	liquid
93.334	1.0000	963.04	0.0010384	7.0437	7.0456	22.182	68.510	75.817	1548.4	-0.033214	302.59	0.67441	liquid
93.501	1.0000	962.93	0.0010385	7.0563	7.0582	22.216	68.494	75.820	1548.3	-0.033196	302.03	0.67449	liquid
93.667	1.0000	962.81	0.0010386	7.0689	7.0708	22.251	68.479	75.823	1548.1	-0.033179	301.48	0.67457	liquid
93.834	1.0000	962.70	0.0010387	7.0816	7.0835	22.285	68.463	75.826	1548.0	-0.033161	300.92	0.67464	liquid
94.001	1.0000	962.58	0.0010389	7.0942	7.0961	22.320	68.447	75.829	1547.9	-0.033143	300.37	0.67472	liquid
94.167	1.0000	962.47	0.0010390	7.1069	7.1088	22.354	68.432	75.832	1547.8	-0.033126	299.82	0.67479	liquid
94.334	1.0000	962.35	0.0010391	7.1195	7.1214	22.389	68.416	75.835	1547.7	-0.033108	299.27	0.67487	liquid
94.501	1.0000	962.24	0.0010392	7.1321	7.1340	22.423	68.400	75.838	1547.6	-0.033090	298.72	0.67494	liquid
94.667	1.0000	962.12	0.0010394	7.1448	7.1467	22.457	68.385	75.841	1547.4	-0.033073	298.17	0.67502	liquid
94.834	1.0000	962.00	0.0010395	7.1574	7.1593	22.492	68.369	75.844	1547.3	-0.033055	297.63	0.67509	liquid
95.001	1.0000	961.89	0.0010396	7.1700	7.1719	22.526	68.353	75.847	1547.2	-0.033037	297.08	0.67517	liquid
95.167	1.0000	961.77	0.0010397	7.1827	7.1846	22.560	68.338	75.851	1547.1	-0.033019	296.54	0.67524	liquid
95.334	1.0000	961.66	0.0010399	7.1953	7.1972	22.595	68.322	75.854	1547.0	-0.033002	296.00	0.67531	liquid
95.500	1.0000	961.54	0.0010400	7.2080	7.2099	22.629	68.306	75.857	1546.8	-0.032984	295.47	0.67539	liquid
95.667	1.0000	961.42	0.0010401	7.2206	7.2225	22.663	68.291	75.860	1546.7	-0.032966	294.93	0.67546	liquid
95.834	1.0000	961.31	0.0010403	7.2333	7.2352	22.698	68.275	75.863	1546.6	-0.032948	294.40	0.67553	liquid
96.000	1.0000	961.19	0.0010404	7.2459	7.2478	22.732	68.259	75.866	1546.5	-0.032930	293.86	0.67560	liquid
96.167	1.0000	961.07	0.0010405	7.2585	7.2604	22.766	68.244	75.870	1546.3	-0.032913	293.33	0.67567	liquid
96.334	1.0000	960.96	0.0010406	7.2712	7.2731	22.800	68.228	75.873	1546.2	-0.032895	292.80	0.67574	liquid
96.500	1.0000	960.84	0.0010408	7.2838	7.2857	22.834	68.212	75.876	1546.1	-0.032877	292.28	0.67582	liquid
96.667	1.0000	960.72	0.0010409	7.2965	7.2984	22.869	68.197	75.879	1545.9	-0.032859	291.75	0.67589	liquid
96.834	1.0000	960.60	0.0010410	7.3091	7.3110	22.903	68.181	75.883	1545.8	-0.032841	291.23	0.67595	liquid
97.000	1.0000	960.49	0.0010411	7.3218	7.3237	22.937	68.165	75.886	1545.7	-0.032823	290.70	0.67602	liquid
97.167	1.0000	960.37	0.0010413	7.3344	7.3363	22.971	68.150	75.889	1545.5	-0.032806	290.18	0.67609	liquid
97.334	1.0000	960.25	0.0010414	7.3471	7.3490	23.005	68.134	75.892	1545.4	-0.032788	289.66	0.67616	liquid
97.500	1.0000	960.13	0.0010415	7.3597	7.3616	23.039	68.118	75.896	1545.3	-0.032770	289.15	0.67623	liquid
97.667	1.0000	960.01	0.0010417	7.3724	7.3743	23.074	68.103	75.899	1545.1	-0.032752	288.63	0.67630	liquid
97.834	1.0000	959.90	0.0010418	7.3850	7.3869	23.108	68.087	75.902	1545.0	-0.032734	288.12	0.67637	liquid
98.000	1.0000	959.78	0.0010419	7.3977	7.3996	23.142	68.072	75.906	1544.9	-0.032716	287.61	0.67643	liquid
98.167	1.0000	959.66	0.0010420	7.4103	7.4122	23.176	68.056	75.909	1544.7	-0.032698	287.09	0.67650	liquid
98.334	1.0000	959.54	0.0010422	7.4230	7.4249	23.210	68.040	75.912	1544.6	-0.032680	286.59	0.67657	liquid
98.500	1.0000	959.42	0.0010423	7.4356	7.4375	23.244	68.025	75.916	1544.5	-0.032662	286.08	0.67663	liquid
98.667	1.0000	959.30	0.0010424	7.4483	7.4502	23.278	68.009	75.919	1544.3	-0.032644	285.57	0.67670	liquid
98.833	1.0000	959.19	0.0010426	7.4609	7.4628	23.312	67.994	75.922	1544.2	-0.032626	285.07	0.67676	liquid
99.000	1.0000	959.07	0.0010427	7.4736	7.4755	23.346	67.978	75.926	1544.0	-0.032608	284.57	0.67683	liquid
99.167	1.0000	958.95	0.0010428	7.4862	7.4881	23.380	67.962	75.929	1543.9	-0.032590	284.06	0.67689	liquid
99.333	1.0000	958.83	0.0010429	7.4989	7.5008	23.414	67.947	75.933	1543.7	-0.032572	283.56	0.67696	liquid
99.500	1.0000	958.71	0.0010431	7.5115	7.5134	23.448	67.931	75.936	1543.6	-0.032554	283.07	0.67702	liquid
99.667	1.0000	958.59	0.0010432	7.5242	7.5261	23.482	67.916	75.940	1543.5	-0.032536	282.57	0.67708	liquid
99.833	1.0000	958.47	0.0010433	7.5368	7.5387	23.516	67.900	75.943	1543.3	-0.032517	282.08	0.67715	liquid
99.974	1.0000	958.37	0.0010434	7.5475	7.5494	23.545	67.887	75.946	1543.2	-0.032502	281.66	0.67720	liquid
99.974	1.0000	0.59766	1.6732	45.146	48.200	132.49	28.027	37.471	472.18	12.170	12.231	0.024568	vapor
100.00	1.0000	0.59761	1.6733	45.147	48.201	132.49	28.026	37.468	472.20	12.166	12.232	0.024570	vapor
